DateSampled,Year,Site,LabID,DetectionLimit,Ammonium_mgL,Calcium_ICP,Chloride,Magnesium_ICP,Nitrate_N,Phosphate_P,Sodium_ICP,Total_Nitrogen,Total _Phosphorus
02/10/17,2017,1,1702-01,,-0.02,,,,0.82,0.009,,0.9,0.025
02/10/17,2017,2,1702-2A,,-0.02,,,,0.81,0.01,,0.84,0.019
02/10/17,2017,3,1702-03,,-0.02,,,,0.68,-0.002,,0.76,0.011
02/10/17,2017,4,1702-04,,-0.02,,,,0.7,-0.002,,0.78,0.011
02/10/17,2017,5,1702-05,,-0.02,,,,0.75,-0.002,,0.83,0.013
02/10/17,2017,6,1702-06,,-0.02,,,,2.01,0.017,,2.21,0.092
02/10/17,2017,7,1702-07,,-0.02,,,,0.69,-0.002,,0.76,0.008
02/10/17,2017,8,1702-08,,0.25,,,,0.2,-0.002,,0.62,0.01
02/10/17,2017,9,1702-09,,-0.02,,,,0.53,-0.002,,0.55,0.012
02/10/17,2017,10,1702-10,,-0.02,,,,0.43,-0.002,,0.48,0.008
02/10/17,2017,11,1702-11,,-0.02,,,,0.32,-0.002,,0.39,0.009
02/10/17,2017,12,1702-12,,-0.02,,,,0.17,-0.002,,0.25,0.01
02/10/17,2017,14,1702-14,,-0.02,,,,0.64,0.003,,0.63,0.013
03/10/17,2017,1,1703-01,,-0.02,,,,0.9,0.008,,0.98,0.04
03/10/17,2017,2,1703-2A,,-0.02,,,,0.93,0.008,,1.03,0.043
03/10/17,2017,3,1703-03,,-0.02,,,,0.75,-0.002,,0.83,0.016
03/10/17,2017,4,1703-04,,-0.02,,,,0.67,-0.002,,0.78,0.015
03/10/17,2017,5,1703-05,,-0.02,,,,0.8,-0.002,,0.89,0.016
03/10/17,2017,6,1703-06,,-0.02,,,,1.85,0.007,,1.95,0.052
03/10/17,2017,7,1703-07,,-0.02,,,,0.73,-0.002,,0.84,0.014
03/10/17,2017,8,1703-08,,0.13,,,,0.19,-0.002,,0.49,0.012
03/10/17,2017,9,1703-09,,-0.02,,,,0.49,-0.002,,0.55,0.013
03/10/17,2017,10,1703-10,,-0.02,,,,0.52,-0.002,,0.63,0.012
03/10/17,2017,11,1703-11,,-0.02,,,,0.38,0.002,,0.46,0.012
03/10/17,2017,12,1703-12,,-0.02,,,,0.22,0.003,,0.31,0.012
03/10/17,2017,14,1703-14,,-0.02,,,,0.58,-0.002,,0.61,0.012
04/14/17,2017,1,1704-01,,-0.02,,,,0.79,0.007,,0.92,0.033
04/14/17,2017,2,1704-2A,,-0.02,,,,0.79,0.005,,0.91,0.033
04/14/17,2017,3,1704-03,,-0.02,,,,0.67,-0.002,,0.77,0.014
04/14/17,2017,4,1704-04,,-0.02,,,,0.68,-0.002,,0.8,0.014
04/14/17,2017,5,1704-05,,-0.02,,,,0.71,0.002,,0.84,0.015
04/14/17,2017,6,1704-06,,-0.02,,,,1.52,0.005,,1.59,0.024
04/14/17,2017,7,1704-07,,-0.02,,,,0.66,0.003,,0.76,0.012
04/14/17,2017,8,1704-08,,0.18,,,,0.19,0.002,,0.56,0.013
04/14/17,2017,9,1704-09,,-0.02,,,,0.44,0.002,,0.49,0.009
04/14/17,2017,10,1704-10,,-0.02,,,,0.46,0.003,,0.53,0.011
04/14/17,2017,11,1704-11,,-0.02,,,,0.32,0.003,,0.42,0.012
04/14/17,2017,12,1704-12,,-0.02,,,,0.16,0.005,,0.27,0.015
04/14/17,2017,14,1704-14,,-0.02,,,,0.57,0.002,,0.6,0.009
05/12/17,2017,1,1705-01,,-0.02,,,,0.78,0.009,,0.86,0.031
05/12/17,2017,2,1705-2A,,-0.02,,,,0.8,0.009,,0.95,0.042
05/12/17,2017,3,1705-03,,-0.02,,,,0.65,0.004,,0.77,0.014
05/12/17,2017,4,1705-04,,-0.02,,,,0.67,0.004,,0.82,0.01
05/12/17,2017,5,1705-05,,-0.02,,,,0.71,0.004,,0.81,0.016
05/12/17,2017,6,1705-06,,-0.02,,,,1.81,0.007,,1.87,0.027
05/12/17,2017,7,1705-07,,-0.02,,,,0.66,0.003,,0.77,0.016
05/12/17,2017,8,1705-08,,0.11,,,,0.23,0.003,,0.56,0.017
05/12/17,2017,9,1705-09,,-0.02,,,,0.37,-0.002,,0.41,0.011
05/12/17,2017,10,1705-10,,-0.02,,,,0.37,0.003,,0.46,0.013
05/12/17,2017,11,1705-11,,-0.02,,,,0.23,0.004,,0.37,0.02
05/12/17,2017,12,1705-12,,-0.02,,,,0.07,0.005,,0.21,0.02
05/12/17,2017,14,1705-14,,-0.02,,,,0.49,0.002,,0.53,0.016
06/09/17,2017,1,1706-01,,-0.02,,,,0.75,0.008,,0.93,0.038
06/09/17,2017,2,1706-2A,,-0.02,,,,0.77,0.008,,0.94,0.032
06/09/17,2017,3,1706-03,,-0.02,,,,0.72,0.006,,0.89,0.024
06/09/17,2017,4,1706-04,,-0.02,,,,0.75,0.005,,0.87,0.021
06/09/17,2017,5,1706-05,,-0.02,,,,0.82,0.005,,2.11,0.02
06/09/17,2017,6,1706-06,,0.03,,,,1.93,0.009,,0.97,0.088
06/09/17,2017,7,1706-07,,-0.02,,,,0.77,0.004,,0.94,0.021
06/09/17,2017,8,1706-08,,0.06,,,,0.39,0.003,,0.69,0.028
06/09/17,2017,9,1706-09,,-0.02,,,,0.38,0.003,,0.5,0.016
06/09/17,2017,10,1706-10,,-0.02,,,,0.41,0.005,,0.51,0.018
06/09/17,2017,11,1706-11,,-0.02,,,,0.26,0.007,,0.43,0.024
06/09/17,2017,12,1706-12,,-0.02,,,,0.14,0.007,,0.33,0.022
06/09/17,2017,14,1706-14,,-0.02,,,,0.43,0.003,,0.47,0.012
07/14/17,2017,1,1707-01,,0.02,,,,0.91,0.014,,1.14,0.059
07/14/17,2017,2,1707-2A,,0.02,,,,0.9,0.012,,1.12,0.058
07/14/17,2017,3,1707-03,,0.03,,,,0.78,0.007,,0.98,0.036
07/14/17,2017,4,1707-04,,0.04,,,,0.81,0.007,,1.04,0.04
07/14/17,2017,5,1707-05,,0.05,,,,0.96,0.004,,1.11,0.037
07/14/17,2017,6,1707-06,,-0.02,,,,1.69,0.008,,1.91,0.077
07/14/17,2017,7,1707-07,,0.08,,,,0.9,0.004,,1.17,0.02
07/14/17,2017,8,1707-08,,-0.02,,,,1.14,0.004,,1.56,0.038
07/14/17,2017,9,1707-09,,-0.02,,,,0.34,0.004,,0.36,0.027
07/14/17,2017,10,1707-10,,-0.02,,,,0.49,0.004,,0.67,0.021
07/14/17,2017,11,1707-11,,0.06,,,,0.37,0.005,,0.5,0.038
07/14/17,2017,12,1707-12,,0.02,,,,0.21,0.007,,0.38,0.032
07/14/17,2017,14,1707-14,,-0.02,,,,0.32,0.003,,0.31,0.021
08/11/17,2017,1,1708-01,,-0.02,,,,1.22,0.008,,1.24,0.045
08/11/17,2017,2,1708-2A,,-0.02,,,,1.41,0.01,,1.5,0.073
08/11/17,2017,3,1708-03,,-0.02,,,,1.09,0.004,,1.18,0.03
08/11/17,2017,4,1708-04,,0.03,,,,1.17,0.004,,1.27,0.026
08/11/17,2017,5,1708-05,,-0.02,,,,1.29,0.003,,1.33,0.025
