Date_Sampled,Year,Location,Site Name,Turbidity_NTU_Edited,Enterococcus Concentration_CFU/100mL,Temperature_Celsius,Conductivity_uS
5/21/2016,2016,Roe Jan,RJ-HR-106.5,-999,4.1,-999,-999
5/21/2016,2016,Roe Jan,RJ-5.78,-999,5.1,-999,-999
5/21/2016,2016,Roe Jan,RJ-5.76,-999,3.1,-999,-999
5/21/2016,2016,Roe Jan,RJ-0.00,-999,1,-999,-999
5/21/2016,2016,Roe Jan,RJ-2.00,-999,3.1,-999,-999
5/21/2016,2016,Roe Jan,RJ-HR-107,-999,122.2,-999,-999
5/21/2016,2016,Roe Jan,RJ-HR-108.5,-999,5.2,-999,-999
5/21/2016,2016,Roe Jan,RJ-25.22,-999,24.9,-999,-999
5/21/2016,2016,Roe Jan,RJ-17.94,-999,20.3,-999,-999
5/21/2016,2016,Roe Jan,RJ-43.30,-999,10.9,-999,-999
5/21/2016,2016,Roe Jan,RJ-37.58,-999,2,-999,-999
5/21/2016,2016,Roe Jan,RJ-40.78,-999,20.6,-999,-999
5/21/2016,2016,Roe Jan,RJ-NK-0.30,-999,104.6,-999,-999
5/21/2016,2016,Roe Jan,RJ-31.26,-999,10.9,-999,-999
6/18/2016,2016,Roe Jan,RJ-25.22,2.13,37.2,-999,-999
6/18/2016,2016,Roe Jan,RJ-17.94,1.39,48.2,-999,-999
6/18/2016,2016,Roe Jan,RJ-43.30,0.58,67.3,-999,-999
6/18/2016,2016,Roe Jan,RJ-37.58,2.61,46.3,-999,-999
6/18/2016,2016,Roe Jan,RJ-40.78,0.95,44,-999,-999
6/18/2016,2016,Roe Jan,RJ-NK-0.30,1.62,61.1,-999,-999
6/18/2016,2016,Roe Jan,RJ-31.26,1.67,95.5,-999,-999
6/18/2016,2016,Roe Jan,RJ-HR-107,48.8,6.1,-999,-999
6/18/2016,2016,Roe Jan,RJ-HR-106.5,5.89,28.3,-999,-999
6/18/2016,2016,Roe Jan,RJ-5.78,1.37,30,-999,-999
6/18/2016,2016,Roe Jan,RJ-5.76,1.16,19.9,-999,-999
6/18/2016,2016,Roe Jan,RJ-0.00,6.64,16.3,-999,-999
6/18/2016,2016,Roe Jan,RJ-2.00,1.28,30.3,-999,-999
6/18/2016,2016,Roe Jan,RJ-HR-108.5,4.99,15,-999,-999
7/15/2016,2016,Roe Jan,RJ-25.22,2.3,104.1,-999,-999
7/15/2016,2016,Roe Jan,RJ-17.94,3.76,52.3,-999,-999
7/15/2016,2016,Roe Jan,RJ-43.30,0.75,14.5,-999,-999
7/15/2016,2016,Roe Jan,RJ-37.58,2.21,45.3,-999,-999
7/15/2016,2016,Roe Jan,RJ-40.78,3.23,30.2,-999,-999
7/15/2016,2016,Roe Jan,RJ-NK-0.30,2.62,45.5,-999,-999
7/15/2016,2016,Roe Jan,RJ-31.26,1.72,22.7,-999,-999
7/16/2016,2016,Roe Jan,RJ-HR-107,3.14,4,-999,-999
7/16/2016,2016,Roe Jan,RJ-HR-106.5,3.16,9.5,-999,-999
7/16/2016,2016,Roe Jan,RJ-5.78,1.6,16.1,-999,-999
7/16/2016,2016,Roe Jan,RJ-5.76,1.8,7.1,-999,-999
7/16/2016,2016,Roe Jan,RJ-0.00,5.15,7.1,-999,-999
7/16/2016,2016,Roe Jan,RJ-2.00,1.3,22.2,-999,-999
7/16/2016,2016,Roe Jan,RJ-HR-108.5,5.04,1,-999,-999
8/20/2016,2016,Roe Jan,RJ-25.22,1.5,32.2,-999,-999
8/20/2016,2016,Roe Jan,RJ-17.94,1.02,36.1,-999,-999
8/20/2016,2016,Roe Jan,RJ-43.30,1.23,37.2,-999,-999
8/20/2016,2016,Roe Jan,RJ-37.58,1.29,35.4,-999,-999
8/20/2016,2016,Roe Jan,RJ-40.78,1.13,49.4,-999,-999
8/20/2016,2016,Roe Jan,RJ-NK-0.30,0.96,60.4,-999,-999
8/20/2016,2016,Roe Jan,RJ-31.26,1,59.9,-999,-999
8/20/2016,2016,Roe Jan,RJ-HR-106.5,1.79,4,-999,-999
8/20/2016,2016,Roe Jan,RJ-5.78,1.5,14.3,-999,-999
8/20/2016,2016,Roe Jan,RJ-5.76,2.08,22.9,-999,-999
8/20/2016,2016,Roe Jan,RJ-0.00,2.27,57.1,-999,-999
8/20/2016,2016,Roe Jan,RJ-2.00,0.79,42.3,-999,-999
