Record,sub_basin,date,year,month,Season,time,sample_id ,SiteID,gpsX,gpsY,qual,basin_ac,basin_m2,basin2011_uf_ac,basin2011_uf_perc,basin2011_mca_ac,basin2011_mca_perc,basin2011_d_ac,basin2011_d_perc,basin2011_vw_ac,basin2011_vw_perc,basin2011_o_ac,basin2011_o_perc,uufac_b,umcaac_b,udac_b,uf100w100l,uf_perc_100w100l,d100w100,d_perc_100w100l,mca100w100l,mca_perc_100w100l_OG,o100w100l_OG,o_perc_100w100l,uf500w100l,uf_perc_500w100l,d500w100l,d_perc_500w100l,mca500w100l,mca_perc_500w100l,o500w100l,o_perc_500w100l,uf100w500l,uf_perc_100w500l,d100w500l,d_perc_100w500l,mca100w500l,mca_perc_100w500l,o100w500l,o_perc_100w500l,uf500w500l,uf_perc_500w500l,d500w500l,d_perc_500w500l,mca500w500l,mca_perc_500w500l,o500w500l,o_perc_500w500l,atemp,wtemp,turb,turb2,turb3,turbav,turb_notes,ph,DO,DO_perc,sal,hard,alk,Cl-,TP,NH4_t,NH4_22,NO3_t,NO3_tx10,NO3_22,PO4_t,PO4_22,NO3_IC,TN,Ca,Mg,K,Silicate,Na,SO42-,Fe,con,con_uS,con_ms/cm,ent_w,ent_1/10,ent_notes,coli_1/10,coli_1/100,ecoli_1/10,ecoli_1/100,coli_e-coli notes,fc,fs,fcfs_ratio,tca,weath,testrain,rain7,rain28,rainmonthprior,rainmonth,notes
2,M,12/7/1975,1975,12,Winter,11:00:00,NA,3,42.01903,-73.820333,3,2866.364358,11599909.2,1637.289641,57.1,723.214518,25.2,187.192408,6.5,177.481109,6.2,141.186682,4.925636254,-999,-999,-999,2676,16.84608121,6277,39.51526597,3046,19.17532263,3886,24.46333019,2676,16.84608121,6277,39.51526597,3046,19.17532263,3886,24.46333019,105045,41.28413325,36032,14.16107277,72162,28.36066089,41205,16.19413309,201731,51.27806897,36032,9.158985882,112370,28.56336711,43273,10.99957804,-2,6,-999,-999,-999,-999,-999,7.8,8,-999,-999,188,239,51,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,28,24,1.166666667,100,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
3,M,12/7/1975,1975,12,Winter,11:35:00,NA,4,42,73.831885,3,2866.364358,11599909.2,1637.289641,57.1,723.214518,25.2,187.192408,6.5,177.481109,6.2,141.186682,4.925636254,-999,-999,-999,11154,73.46374234,3674,24.19811631,0,0,355,2.338141342,11154,73.46374234,3674,24.19811631,0,0,355,2.338141342,69146,65.18288084,4857,4.57861991,6847,6.454562594,25230,23.78393665,201131,51.58421987,51320,13.16207926,66664,17.09736656,70793,18.15633431,-2,5,-999,-999,-999,-999,-999,7.7,7,-999,-999,222,274,38,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,12,9,-999,16,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
4,M,12/7/1975,1975,12,Winter,12:05:00,NA,6,41.993207,-73.842887,2,2866.364358,11599909.2,1637.289641,57.1,723.214518,25.2,187.192408,6.5,177.481109,6.2,141.186682,4.925636254,-999,-999,-999,0,0,7976,74.54902327,1741,16.27254884,982,9.17842789,0,0,7976,74.54902327,1741,16.27254884,982,9.17842789,2268,2.243833909,17284,17.09983478,52759,52.19684003,28766,28.45949128,2268,1.758098649,27979,21.6886429,87184,67.58292443,11572,8.970334023,-2,5,-999,-999,-999,-999,-999,7.7,13,-999,-999,205,291,38,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,16,28,0.571428571,60,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
5,A,12/7/1975,1975,12,Winter,12:45:00,NA,2,41.971497,-73.820126,3,3805.241245,15399098.1,1548.132027,40.7,1155.73523,30.4,648.373518,17,307.392982,8.1,145.607488,3.826498207,201.4,95.5,28.8,5866,37.23262456,7739,49.120914,2150,13.64646144,0,0,5866,37.09371443,7739,48.93765018,2209,13.96863539,0,0,75871,40.04718824,58324,30.78530936,54445,28.73784665,814,0.429655748,168145,42.77943575,88281,22.46044406,126823,32.26629623,9802,2.493823957,1,3,-999,-999,-999,-999,-999,7.5,10,-999,-999,103,105,38,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,9,12,-999,16,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
6,A,12/7/1975,1975,12,Winter,0:00:00,NA,5,41.97341,-73.838723,2,3805.241245,15399098.1,1548.132027,40.7,1155.73523,30.4,648.373518,17,307.392982,8.1,145.607488,3.826498207,1773.3,428.8,188.6,9197,60.68624216,4694,30.97327615,1264,8.340481689,0,0,9662,61.85659411,4694,30.05121639,1264,8.092189501,0,0,35564,30.93005862,43532,37.85983893,26857,23.35756901,9029,7.85253344,168347,58.04408464,67353,23.22252985,43085,14.85520613,11248,3.87817938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,-999,-999,-999,-999,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
7,L,12/7/1975,1975,12,Winter,13:05:00,NA,7,41.993342,-73.846064,3,727.642981,2944492.7,410.28676,56.4,166.346843,22.9,42.23206,5.8,98.8,13.6,9.977318,1.371183157,3724.5,726.1,377.7,52,0.320967841,5815,35.89284612,5349,33.01648046,4985,30.76970557,52,0.320967841,5815,35.89284612,5349,33.01648046,4985,30.76970557,39622,14.09905133,33488,11.91633514,84798,30.17443226,123118,43.81018126,45468,14.46537479,39822,12.66913334,102686,32.66894246,126347,40.19654941,3,4,-999,-999,-999,-999,-999,7.5,14,-999,-999,188,222,38,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,16,20,0.8,28,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
8,A,12/7/1975,1975,12,Winter,13:30:00,NA,8,42.001094,-73.85626,3,3805.241245,15399098.1,1548.132027,40.7,1155.73523,30.4,648.373518,17,307.392982,8.1,145.607488,3.826498207,4465.9,943.3,550.6,0,0,3797,23.62199826,8606,53.53987806,3671,22.83812368,0,0,3797,23.62199826,8606,53.53987806,3671,22.83812368,37433,15.46396437,3987,1.64707146,91771,37.91156131,108875,44.97740286,93686,23.98318622,22375,5.727897356,160210,41.01302505,114361,29.27589138,0,4,-999,-999,-999,-999,-999,7.9,10,-999,-999,171,239,38,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,9,40,-999,88,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
9,I,12/7/1975,1975,12,Winter,13:45:00,NA,9,42.008946,-73.857941,3,248.613651,1006048.5,132.257385,53.2,88.079706,35.4,16.362268,6.6,8.377252,3.4,3.53704,1.422705465,4465.9,943.3,550.6,0,0,12270,78.52297453,3356,21.47702547,0,0,0,0,12270,78.52297453,3356,21.47702547,0,0,8994,9.561676749,15559,16.54104164,57680,61.32060428,11830,12.57667733,8994,3.843606169,59781,25.54754507,153394,65.5532716,11830,5.055577161,2,4,-999,-999,-999,-999,-999,7.5,5,-999,-999,171,222,38,-999,0.12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,24,20,1.2,60,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
10,A,12/7/1975,1975,12,Winter,15:55:00,NA,15,42.003618,-73.880006,3,3805.241245,15399098.1,1548.132027,40.7,1155.73523,30.4,648.373518,17,307.392982,8.1,145.607488,3.826498207,4598.2,1031.4,567,1978,12.60354276,10275,65.47088059,0,0,3441,21.92557665,2031,12.8976948,10275,65.25052391,0,0,3441,21.85178129,13693,9.627702584,60496,42.53541923,11146,7.836878186,56890,40,67650,17.60421356,178513,46.45352514,75266,19.5860863,62854,16.35617501,-4,3.5,-999,-999,-999,-999,-999,7.6,13,-999,-999,171,256,40,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,9,16,-999,84,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
11,G,12/7/1975,1975,12,Winter,15:45:00,NA,16,42.011602,-73.884619,3,325.339014,1316442.4,88.85331,27.3,74.024171,22.8,123.989307,38.1,23.9,7.3,14.572226,4.479089618,-999,-999,-999,0,0,15442,100,0,0,0,0,0,0,15500,100,0,0,0,0,11229,9.582284422,84565,72.16367283,3561,3.038784827,17830,15.21525793,44678,13.74936143,231898,71.36508835,29821,9.177217138,18549,5.708333077,0,3,-999,-999,-999,-999,-999,7.6,14,-999,-999,205,256,63,-999,0.48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,12,28,0.428571429,100,Cold and Clear,0,0.18,-999,-999,2.96,Some sites inaccessible due to weather; phosphate and nitrate not conclusive
